ReviewID,ProductID,Rating,Review,ReviewDate
72,7,1,"TERRIBLE, WOULD NOT RECOMMEND.",12/03/2020
73,9,2,"IT WORKS OKAY, NOT THE BEST.",13/03/2020
74,8,2,ABSOLUTELY LOVE IT!,2020-03-14 00:00:00
75,1,4,not worth the money.,2020-03-15 00:00:00
76,8,5,"DECENT QUALITY, BUT OVERPRICED.",2020-03-16 00:00:00
77,8,1,EXCEEDED MY EXPECTATIONS!,2020-03-17 00:00:00
78,3,1,"poor quality, broke after a week.",2020-03-18 00:00:00
79,1,3,JUST OKAY.,2020-03-19 00:00:00
80,8,2,GREAT VALUE FOR THE PRICE!,2020-03-20 00:00:00
81,3,5,THIS PRODUCT IS AMAZING!,21/03/2020
82,3,4,"terrible, would not recommend.",2020-03-22 00:00:00
83,1,2,"it works okay, not the best.",23/03/2020
84,5,4,absolutely love it!,24/03/2020
85,7,3,NOT WORTH THE MONEY.,25/03/2020
86,9,3,"decent quality, but overpriced.",26/03/2020
87,7,1,exceeded my expectations!,2020-03-27 00:00:00
88,9,5,"poor quality, broke after a week.",28/03/2020
89,8,4,just okay.,2020-03-29 00:00:00
90,2,2,great value for the price!,30/03/2020
91,1,3,THIS PRODUCT IS AMAZING!,31/03/2020
92,7,1,"terrible, would not recommend.",01/04/2020
93,7,1,"it works okay, not the best.",02/04/2020
94,8,4,ABSOLUTELY LOVE IT!,2020-04-03 00:00:00
95,5,3,NOT WORTH THE MONEY.,04/04/2020
96,3,5,"DECENT QUALITY, BUT OVERPRICED.",05/04/2020
97,8,3,EXCEEDED MY EXPECTATIONS!,06/04/2020
98,6,4,"POOR QUALITY, BROKE AFTER A WEEK.",2020-04-07 00:00:00
99,3,4,JUST OKAY.,2020-04-08 00:00:00
100,1,3,great value for the price!,09/04/2020
