,ReviewID,ProductID,Rating,Review,ReviewDate,ReviewDate_formated_1,ReviewDate_formated_2
34,35,7,4,NOT WORTH THE MONEY.,2020-04-02,2020-04-02,2020-02-04
35,36,2,4,"DECENT QUALITY, BUT OVERPRICED.",2020-05-02,2020-05-02,2020-02-05
36,37,4,3,EXCEEDED MY EXPECTATIONS!,2020-02-06,2020-02-06,2020-02-06
37,38,9,2,"poor quality, broke after a week.",2020-07-02,2020-07-02,2020-02-07
38,39,2,4,just okay.,2020-02-08,2020-02-08,2020-02-08
39,40,9,1,great value for the price!,2020-02-09,2020-02-09,2020-02-09
40,41,5,1,THIS PRODUCT IS AMAZING!,2020-02-10,2020-02-10,2020-02-10
41,42,2,1,"TERRIBLE, WOULD NOT RECOMMEND.",2020-02-11,2020-02-11,2020-02-11
42,43,4,1,"IT WORKS OKAY, NOT THE BEST.",2020-02-12,2020-02-12,2020-02-12
43,44,7,3,ABSOLUTELY LOVE IT!,2020-02-13,2020-02-13,2020-02-13
44,45,8,1,not worth the money.,2020-02-14,2020-02-14,2020-02-14
45,46,3,4,"DECENT QUALITY, BUT OVERPRICED.",2020-02-15,2020-02-15,2020-02-15
46,47,1,5,exceeded my expectations!,2020-02-16,2020-02-16,2020-02-16
47,48,4,1,"poor quality, broke after a week.",2020-02-17,2020-02-17,2020-02-17
48,49,2,3,just okay.,2020-02-18,2020-02-18,2020-02-18
49,50,8,3,GREAT VALUE FOR THE PRICE!,2020-02-19,2020-02-19,2020-02-19
50,51,4,1,this product is amazing!,2020-02-20,2020-02-20,2020-02-20
51,52,2,5,"terrible, would not recommend.",2020-02-21,2020-02-21,2020-02-21
52,53,6,1,"it works okay, not the best.",2020-02-22,2020-02-22,2020-02-22
53,54,6,3,ABSOLUTELY LOVE IT!,2020-02-23,2020-02-23,2020-02-23
54,55,4,2,not worth the money.,2020-02-24,2020-02-24,2020-02-24
55,56,6,4,"DECENT QUALITY, BUT OVERPRICED.",2020-02-25,2020-02-25,2020-02-25
56,57,2,3,EXCEEDED MY EXPECTATIONS!,2020-02-26,2020-02-26,2020-02-26
57,58,2,1,"POOR QUALITY, BROKE AFTER A WEEK.",2020-02-27,2020-02-27,2020-02-27
58,59,4,4,JUST OKAY.,2020-02-28,2020-02-28,2020-02-28
59,60,8,1,great value for the price!,2020-02-29,2020-02-29,2020-02-29
60,61,7,1,THIS PRODUCT IS AMAZING!,2020-01-03,2020-01-03,2020-03-01
61,62,9,2,"TERRIBLE, WOULD NOT RECOMMEND.",2020-03-02,2020-03-02,2020-03-02
62,63,8,4,"it works okay, not the best.",2020-03-03,2020-03-03,2020-03-03
63,64,5,4,ABSOLUTELY LOVE IT!,2020-04-03,2020-04-03,2020-03-04
64,65,2,2,not worth the money.,2020-03-05,2020-03-05,2020-03-05
65,66,5,3,"DECENT QUALITY, BUT OVERPRICED.",2020-03-06,2020-03-06,2020-03-06
66,67,8,1,EXCEEDED MY EXPECTATIONS!,2020-07-03,2020-07-03,2020-03-07
67,68,9,5,"poor quality, broke after a week.",2020-03-08,2020-03-08,2020-03-08
68,69,9,1,JUST OKAY.,2020-03-09,2020-03-09,2020-03-09
69,70,1,1,great value for the price!,2020-03-10,2020-03-10,2020-03-10
70,71,9,3,this product is amazing!,2020-11-03,2020-11-03,2020-03-11
71,72,7,1,"TERRIBLE, WOULD NOT RECOMMEND.",2020-12-03,2020-12-03,2020-03-12
72,73,9,2,"IT WORKS OKAY, NOT THE BEST.",2020-03-13,2020-03-13,2020-03-13
73,74,8,2,ABSOLUTELY LOVE IT!,2020-03-14,2020-03-14,2020-03-14
74,75,1,4,not worth the money.,2020-03-15,2020-03-15,2020-03-15
75,76,8,5,"DECENT QUALITY, BUT OVERPRICED.",2020-03-16,2020-03-16,2020-03-16
76,77,8,1,EXCEEDED MY EXPECTATIONS!,2020-03-17,2020-03-17,2020-03-17
77,78,3,1,"poor quality, broke after a week.",2020-03-18,2020-03-18,2020-03-18
78,79,1,3,JUST OKAY.,2020-03-19,2020-03-19,2020-03-19
79,80,8,2,GREAT VALUE FOR THE PRICE!,2020-03-20,2020-03-20,2020-03-20
80,81,3,5,THIS PRODUCT IS AMAZING!,2020-03-21,2020-03-21,2020-03-21
81,82,3,4,"terrible, would not recommend.",2020-03-22,2020-03-22,2020-03-22
82,83,1,2,"it works okay, not the best.",2020-03-23,2020-03-23,2020-03-23
83,84,5,4,absolutely love it!,2020-03-24,2020-03-24,2020-03-24
84,85,7,3,NOT WORTH THE MONEY.,2020-03-25,2020-03-25,2020-03-25
85,86,9,3,"decent quality, but overpriced.",2020-03-26,2020-03-26,2020-03-26
86,87,7,1,exceeded my expectations!,2020-03-27,2020-03-27,2020-03-27
87,88,9,5,"poor quality, broke after a week.",2020-03-28,2020-03-28,2020-03-28
88,89,8,4,just okay.,2020-03-29,2020-03-29,2020-03-29
89,90,2,2,great value for the price!,2020-03-30,2020-03-30,2020-03-30
90,91,1,3,THIS PRODUCT IS AMAZING!,2020-03-31,2020-03-31,2020-03-31
91,92,7,1,"terrible, would not recommend.",2020-01-04,2020-01-04,2020-04-01
92,93,7,1,"it works okay, not the best.",2020-02-04,2020-02-04,2020-04-02
93,94,8,4,ABSOLUTELY LOVE IT!,2020-04-03,2020-04-03,2020-04-03
94,95,5,3,NOT WORTH THE MONEY.,2020-04-04,2020-04-04,2020-04-04
95,96,3,5,"DECENT QUALITY, BUT OVERPRICED.",2020-05-04,2020-05-04,2020-04-05
96,97,8,3,EXCEEDED MY EXPECTATIONS!,2020-06-04,2020-06-04,2020-04-06
97,98,6,4,"POOR QUALITY, BROKE AFTER A WEEK.",2020-04-07,2020-04-07,2020-04-07
98,99,3,4,JUST OKAY.,2020-04-08,2020-04-08,2020-04-08
99,100,1,3,great value for the price!,2020-09-04,2020-09-04,2020-04-09
